Security_1,Security_2,Last_Spread,Z_Score,Max,Min,Last_vs_Max,Last_vs_Min,Percentile,XCCY,Custom_Sector_1,Custom_Sector_2,Rating_1,Rating_2,Currency_1,Currency_2,Ticker_1,Ticker_2,CPN_TYPE_1,CPN_TYPE_2,Yrs_Mat_Bucket_1,Yrs_Mat_Bucket_2,Yrs_Since_Issue_Bucket_1,Yrs_Since_Issue_Bucket_2,Own?,Best Bid_runs1,Best Offer_runs1,Bid/Offer_runs1,Dealer @ Best Bid_runs1,Dealer @ Best Offer_runs1,Size @ Best Bid_runs1,Size @ Best Offer_runs1,G Spread_runs1,Keyword_runs1,Best Bid_runs2,Best Offer_runs2,Bid/Offer_runs2,Dealer @ Best Bid_runs2,Dealer @ Best Offer_runs2,Size @ Best Bid_runs2,Size @ Best Offer_runs2,G Spread_runs2,Keyword_runs2
ATDBCN 3 5/8 05/13/51,BAC 1.658 03/11/27,92.1816,1.8699,99.6480,25.0632,-7.4664,67.1185,97.8175,94.5483,Non Financial Maples,Financial Maples,BBB+,A,USD,USD,ATDBCN,BAC,FIXED,VARIABLE,>25.1,1-2.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ATDBCN 3.439 05/13/41,BNS 2.15 08/01/31,77.9884,1.8569,80.0579,38.5111,-2.0695,39.4773,98.6111,74.2653,Non Financial Maples,Bail In,BBB+,A,USD,USD,ATDBCN,BNS,FIXED,FIXED,10.1-25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ALACN 2.477 11/30/30,CM 1.96 04/21/31,62.8755,1.8383,72.0309,37.8297,-9.1554,25.0458,93.0556,59.7232,Midstream,NVCC Sub Debt,BBB-,BBB+,CAD,CAD,ALACN,CM,FIXED,VARIABLE,5.1-7.1,5.1-7.1,3-5,3-5,0,97.0000,99.0000,-2.0000,NBF,BMO,5000000.0000,5000000.0000,91.3200,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ALACN 2.166 03/16/27,ARXCN 3.465 03/10/31,-48.0495,1.8290,-46.8345,-67.5892,-1.2150,19.5396,98.6111,-47.2689,Midstream,Oil & Gas,BBB-,NR,CAD,CAD,ALACN,ARXCN,FIXED,FIXED,1-2.1,5.1-7.1,3-5,3-5,0,63.0000,,,NBF,,5000000.0000,,69.0000,,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,
BAMREP 3.33 08/13/50,CM 1.96 04/21/31,128.7908,1.8210,133.2844,108.6052,-4.4936,20.1856,90.2778,126.6307,Power Gen/Renewable,NVCC Sub Debt,BBB+,BBB+,CAD,CAD,BAMREP,CM,FIXED,VARIABLE,>25.1,5.1-7.1,3-5,3-5,0,160.0000,,,NBF,,5000000.0000,,160.0000,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ARXCN 3.465 03/10/31,ATDBCN 3.439 05/13/41,-26.7182,-1.7975,11.9797,-31.5739,-38.6979,4.8557,6.9444,-28.4276,Oil & Gas,Non Financial Maples,NR,BBB+,CAD,USD,ARXCN,ATDBCN,FIXED,FIXED,5.1-7.1,10.1-25.1,3-5,3-5,0,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,,,,,,,,,,
BAC 1.978 09/15/27,CCDJ 1.992 05/28/31,18.6687,1.7884,20.5290,-5.9191,-1.8603,24.5878,95.8333,17.6053,Financial Maples,Non Major Sub Debt,A,A-,CAD,CAD,BAC,CCDJ,VARIABLE,VARIABLE,2.1-3.1,5.1-7.1,3-5,3-5,0,53.0000,48.0000,5.0000,TD,TD,5000000.0000,5000000.0000,55.3500,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
ALTALK 1.509 09/11/30,BAC 1.978 09/15/27,-16.8199,-1.7865,2.3712,-19.7405,-19.1911,2.9206,6.1508,-20.0051,Utility,Financial Maples,A-,A,CAD,CAD,ALTALK,BAC,FIXED,VARIABLE,5.1-7.1,2.1-3.1,3-5,3-5,0,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,53.0000,48.0000,5.0000,TD,TD,5000000.0000,5000000.0000,55.3500,
BAC 2.598 04/04/29,CM 1.96 04/21/31,29.6235,1.7686,30.9678,4.3322,-1.3443,25.2913,98.6111,22.0671,Financial Maples,NVCC Sub Debt,A,BBB+,CAD,CAD,BAC,CM,VARIABLE,VARIABLE,3.1-4.1,5.1-7.1,3-5,3-5,0,54.0000,48.0000,6.0000,TD,TD,3000000.0000,3000000.0000,71.9600,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ALTALK 1.509 09/11/30,BCIMCR 1.747 07/24/30,-26.1053,-1.7666,-6.8552,-27.4577,-19.2501,1.3524,2.9762,-28.7616,Utility,Pension,A-,NR,CAD,CAD,ALTALK,BCIMCR,FIXED,FIXED,5.1-7.1,4.1-5.1,3-5,3-5,0,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,66.0000,,,NBF,,5000000.0000,,66.0000,
