Security,Bid Spread,Ask Spread,Bid Size,Ask Size,DoD,WoW,MTD,QTD,YTD,1YR,DoD Chg Bid Size,DoD Chg Ask Size,MTD Chg Bid Size,MTD Chg Ask Size,Best Bid,Best Offer,Bid/Offer,Dealer @ Best Bid,Dealer @ Best Offer,Size @ Best Bid,Size @ Best Offer,CUSIP,G Spread,Keyword
TD 3.06 01/26/32,71.0,66.0,10000000.0,2000000.0,-2.0,-5.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,70.0,65.0,5.0,RBC,TD,10000000.0,5000000.0,89117FPG8,70.82,AXE
TD 2.26 01/07/27,41.0,36.0,15000000.0,5000000.0,-2.0,-8.0,-2.0,-2.0,-51.0,-51.0,5000000.0,0.0,5000000.0,0.0,40.0,36.0,4.0,NBF,BMO,10000000.0,5000000.0,89117FZ44,40.89,
VW Float 02/19/27,81.0,76.0,5000000.0,0.0,-2.0,-7.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,81.0,,,CIBC,,5000000.0,,918423BJ2,,
VW Float 02/19/27,93.0,83.0,3000000.0,1000000.0,-2.0,-2.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,81.0,,,CIBC,,5000000.0,,918423BJ2,,
VW 4.49 11/19/29,120.0,115.0,5000000.0,1000000.0,-2.0,-6.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,114.0,107.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BK9,118.0,
VW 4.49 11/19/29,114.0,107.0,5000000.0,2000000.0,-2.0,-9.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,114.0,107.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BK9,112.41,AXE
VTR 2.45 01/04/27,67.0,62.0,3000000.0,0.0,-2.0,-5.0,-2.0,-2.0,-75.0,-75.0,0.0,0.0,0.0,0.0,65.0,60.0,5.0,SCM,SCM,10000000.0,10000000.0,92277LAG1,67.0,AXE
VTR 3.3 12/01/31,130.0,125.0,2000000.0,0.0,-2.0,-3.0,-2.0,-2.0,-74.0,-74.0,0.0,0.0,0.0,0.0,125.0,122.0,3.0,BMO,TD,3000000.0,2000000.0,92277LAH9,125.0,
VTR 5.398 04/21/28,92.0,87.0,3000000.0,0.0,-2.0,-5.0,-2.0,-2.0,-75.0,-75.0,0.0,0.0,0.0,0.0,92.0,88.0,4.0,RBC,TD,3000000.0,5000000.0,92277LAJ5,91.0,
VTR 5.1 03/05/29,100.0,95.0,3000000.0,2000000.0,-2.0,-5.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,100.0,95.0,5.0,RBC,RBC,3000000.0,2000000.0,92277LAK2,101.0,AXE
VW 4 1/4 02/18/28,99.0,94.0,5000000.0,1000000.0,-2.0,-6.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,95.0,88.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BH6,99.0,
WCPCN 4.968 06/21/29,110.0,103.0,2000000.0,0.0,-2.0,12.5,-2.0,-2.0,,,0.0,0.0,0.0,0.0,107.0,103.0,4.0,NBF,RBC,5000000.0,3000000.0,92340VAA5,108.35,
WCPCN 5.503 06/21/34,153.0,148.0,3000000.0,3000000.0,-2.0,-5.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,153.0,147.0,6.0,NBF,TD,5000000.0,3000000.0,92340VAC1,154.67,
VZ 2 1/2 05/16/30,72.0,67.0,5000000.0,2000000.0,-2.0,-2.0,-2.0,-2.0,-65.0,-65.0,0.0,0.0,0.0,0.0,65.0,60.0,5.0,TD,TD,10000000.0,5000000.0,92343VFG4,72.56,
VZ 3 5/8 05/16/50,154.0,148.0,2000000.0,0.0,-2.0,-7.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,150.0,140.0,10.0,RBC,RBC,3000000.0,3000000.0,92343VFH2,153.81,
VZ 3 5/8 05/16/50,150.0,140.0,3000000.0,3000000.0,-2.0,-7.0,-2.0,-2.0,-48.0,-48.0,0.0,0.0,0.0,0.0,150.0,140.0,10.0,RBC,RBC,3000000.0,3000000.0,92343VFH2,149.7,AXE
VZ 2 3/8 03/22/28,57.0,53.0,5000000.0,2000000.0,-2.0,-4.0,-2.0,-2.0,-54.0,-54.0,0.0,0.0,0.0,0.0,53.0,48.0,5.0,RBC,RBC,5000000.0,10000000.0,92343VFY5,56.0,
VZ 2 3/8 03/22/28,58.0,53.0,5000000.0,5000000.0,-2.0,-3.0,-2.0,-2.0,-55.0,-55.0,0.0,0.0,0.0,0.0,53.0,48.0,5.0,RBC,RBC,5000000.0,10000000.0,92343VFY5,57.4,AXE
VZ 4.05 03/22/51,154.0,148.0,2000000.0,0.0,-2.0,-7.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,150.0,140.0,10.0,RBC,RBC,3000000.0,3000000.0,92343VGA6,152.89,
VZ 4.05 03/22/51,150.0,140.0,3000000.0,3000000.0,-2.0,-7.0,-2.0,-2.0,-48.0,-48.0,0.0,0.0,0.0,0.0,150.0,140.0,10.0,RBC,RBC,3000000.0,3000000.0,92343VGA6,148.8,AXE
WCPCN 4.968 06/21/29,108.0,103.0,3000000.0,3000000.0,-2.0,-2.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,107.0,103.0,4.0,NBF,RBC,5000000.0,3000000.0,92340VAA5,106.4,
QBRCN 4 1/2 01/15/30,96.0,91.0,5000000.0,5000000.0,-2.0,-4.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,92.0,87.0,5.0,RBC,RBC,5000000.0,2000000.0,92660FAL8,113.03,
VW 4.42 08/20/29,113.0,106.0,5000000.0,2000000.0,-2.0,-9.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,113.0,106.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BG8,109.54,AXE
VW 4.21 08/19/27,87.0,80.0,5000000.0,2000000.0,-2.0,-10.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,87.0,80.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BF0,87.95,
ENBGAS 4.2 06/02/44,115.0,112.0,2000000.0,2000000.0,-2.0,-6.0,-2.0,-2.0,-47.0,-47.0,0.0,0.0,0.0,0.0,115.0,112.0,3.0,TD,TD,2000000.0,2000000.0,90664ZAD2,122.0,
ENBGAS 5.2 07/23/40,118.0,114.0,1000000.0,0.0,-2.0,-5.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,119.0,115.0,4.0,BMO,BMO,3000000.0,2000000.0,90664ZAT7,131.0,
ENBGAS 4.88 06/21/41,118.0,114.0,5000000.0,2000000.0,-2.0,-5.0,-2.0,-2.0,-50.0,-50.0,0.0,0.0,0.0,0.0,114.0,114.0,0.0,TD,NBF,5000000.0,2000000.0,90664ZAU4,130.0,
ENBGAS 4.88 06/21/41,114.0,109.0,5000000.0,1000000.0,-2.0,-7.0,-2.0,-2.0,-49.0,-49.0,0.0,0.0,0.0,0.0,114.0,114.0,0.0,TD,NBF,5000000.0,2000000.0,90664ZAU4,126.0,
ENBGAS 3.8 06/01/46,118.0,114.0,5000000.0,2000000.0,-2.0,-5.0,-2.0,-2.0,-46.0,-46.0,0.0,0.0,0.0,0.0,116.0,113.0,3.0,TD,TD,2000000.0,2000000.0,90664ZAW0,123.0,
ENBGAS 3.8 06/01/46,116.0,113.0,2000000.0,2000000.0,-2.0,-5.0,-2.0,-2.0,-44.0,-44.0,0.0,0.0,0.0,0.0,116.0,113.0,3.0,TD,TD,2000000.0,2000000.0,90664ZAW0,121.0,
ENBGAS 2.88 11/22/27,50.0,40.0,5000000.0,0.0,-2.0,-4.0,-2.0,-2.0,-30.0,-30.0,0.0,0.0,0.0,0.0,43.0,36.0,7.0,SCM,SCM,3000000.0,3000000.0,90664ZAX8,48.0,
